id,url,title,lead_paragraph,category,publish_datetime,source,thumbnail_url,label
article_0001,https://vnexpress.net/san-bay-vinh-dong-cua-6-thang-de-nang-cap-4905048.html,Sân bay Vinh đóng cửa 6 tháng để nâng cấp,"Nghệ AnCảng hàng không Vinh sẽ ngừng hoạt động từ 1/7 đến hết 31/12/2025 để phục vụ thi công mở rộng, cải tạo nhà ga, sân đỗ và sửa chữa đường cất hạ cánh.",Tin tức tổng hợp,2025-06-23T12:26:00+07:00,VnExpress,https://i2-vnexpress.vnecdn.net/2025/06/23/cang-1740019006-6716-174001903-7000-1786-1750651797.png?w=1200&h=0&q=100&dpr=1&fit=crop&s=1_Mmp5rBYhqwS9GKk3jo3g,non-clickbait
article_0002,https://vnexpress.net/5-nguoi-thoat-nan-khi-oto-bi-lu-cuon-4905039.html,5 người thoát nạn khi ôtô bị lũ cuốn,"Tuyên QuangĐi theo Google Maps song lại được chỉ vào đoạn ngập, ôtô 5 chỗ bị lũ cuốn, ba người lớn và hai trẻ nhỏ may mắn thoát nạn, đêm 23/6.",Tin tức tổng hợp,2025-06-23T12:26:00+07:00,VnExpress,https://i2-vnexpress.vnecdn.net/2025/06/23/bfd4a3322c1c9b42c20d-175065137-4829-2374-1750651761.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=Ym5f74MNTlxCBgeZ64tBXQ,non-clickbait
article_0004,https://vnexpress.net/quy-hoach-9-khu-chuc-nang-phia-dong-tp-hcm-4905056.html,Quy hoạch 9 khu chức năng phía đông TP HCM,"9 đồ án quy hoạch 1/2000 được TP Thủ Đức phê duyệt với định hướng phát triển giao thông, công nghệ, tài chính… kỳ vọng tạo đột phá hạ tầng phía đông TP HCM.",Tin tức tổng hợp,2025-06-23T11:56:00+07:00,VnExpress,https://i2-vnexpress.vnecdn.net/2025/06/23/Anhmanhinh20250623luc112329-17-3033-5580-1750652840.png?w=1200&h=0&q=100&dpr=1&fit=crop&s=xIcYBH-gwOoJ6bRdaO_L4A,non-clickbait
article_0006,https://vnexpress.net/tong-bi-thu-trao-quyet-dinh-thanh-lap-co-quan-uy-ban-trung-uong-mttq-viet-nam-4905018.html,Tổng Bí thư trao quyết định thành lập Cơ quan Ủy ban Trung ương MTTQ Việt Nam,"Sáng 23/6, Tổng Bí thư Tô Lâm dự và trao quyết định của Bộ Chính trị về việc thành lập Cơ quan Ủy ban Trung ương Mặt trận Tổ quốc Việt Nam.",Tin tức tổng hợp,2025-06-23T11:03:00+07:00,VnExpress,https://i1-vnexpress.vnecdn.net/2025/06/23/22783e6b3c458b1bd254-175065051-4460-9416-1750650770.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=Clp9z0U-IM-gt_d8DHq5Mg,non-clickbait
article_0010,https://vnexpress.net/quoc-hoi-buoc-vao-tuan-lam-viec-cuoi-cung-cua-ky-hop-dai-ky-luc-4904812.html,Quốc hội bước vào tuần làm việc cuối cùng của kỳ họp dài kỷ lục,"Tuần cuối kỳ họp 9 (23-27/6), Quốc hội sẽ biểu quyết thông qua nhiều luật, nghị quyết quan trọng, trong đó có sửa đổi Bộ luật Hình sự, Luật Xử lý vi phạm hành chính và nghị quyết về trung tâm tài chính quốc tế.",Tin tức tổng hợp,2025-06-23T05:00:00+07:00,VnExpress,https://i2-vnexpress.vnecdn.net/2025/06/22/202506201425541901-gen-h-z6724-3769-9786-1750601172.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=WA3-8VMSenJlK-TwTIrHNA,non-clickbait
article_0011,https://vnexpress.net/nguy-co-mat-an-toan-hang-khong-tu-vat-the-bay-khong-nguoi-lai-4902895.html,Nguy cơ mất an toàn hàng không từ vật thể bay không người lái,"Các sân bay gần đây xảy ra nhiều vụ thả diều, chiếu tia laser, thiết bị bay không người lái xâm nhập gây mất an toàn, nhiều chuyến bay phải chuyển hướng.",Tin tức tổng hợp,2025-06-23T00:00:00+07:00,VnExpress,https://i2-vnexpress.vnecdn.net/2025/06/19/z6714756576865-4ca363ae6266c9e-3713-1617-1750312981.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=RE_NZxA_nBNkCftsk0F9uw,non-clickbait
article_0012,https://vnexpress.net/dung-ma-tuy-khi-lai-xe-tai-xe-gay-tai-nan-lien-hoan-4904802.html,"Dùng ma túy khi lái xe, tài xế gây tai nạn liên hoàn","Thái NguyênĐang chở con gái, Lê Viết Hoàn dừng ôtô bên đường để sử dụng ma túy, sau đó trong trạng thái kích thích gây tai nạn liên hoàn với hai ôtô khác.",Tin tức tổng hợp,2025-06-22T19:40:00+07:00,VnExpress,https://i2-vnexpress.vnecdn.net/2025/06/22/06221-1750593697-6436-1750593803.gif?w=1200&h=0&q=100&dpr=1&fit=crop&s=fV-K1JkEWPUReHarD_Z9Pg&t=image,non-clickbait
article_0013,https://vnexpress.net/tuan-toi-mien-bac-giam-mua-4904778.html,Tuần tới miền Bắc giảm mưa,"Mưa tại miền Bắc sẽ giảm từ ngày 23/6, tuy nhiên một số khu vực trung du và vùng núi vẫn có khả năng xuất hiện mưa giông cục bộ.",Tin tức tổng hợp,2025-06-22T18:11:00+07:00,VnExpress,https://i2-vnexpress.vnecdn.net/2025/06/22/511326948-1246596540200651-883-8989-8176-1750587080.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=ZBM5n7OiFKdjwFHEgtnD4w,non-clickbait
article_0014,https://vnexpress.net/da-nang-mo-rong-khu-thuong-mai-tu-do-sau-sap-nhap-4904753.html,Đà Nẵng mở rộng khu thương mại tự do sau sáp nhập,"Thành phố sẽ nghiên cứu mở rộng khu thương mại tự do để khai thác tiềm năng không gian, liên kết vùng sau khi hợp nhất với tỉnh Quảng Nam.",Tin tức tổng hợp,2025-06-22T15:48:00+07:00,VnExpress,https://i2-vnexpress.vnecdn.net/2025/06/22/vne9032-1-jpg-1750580271-4127-7948-5842-1750582045.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=vYbQtofxIKcSmdcCHBJOiA,non-clickbait
article_0015,https://vnexpress.net/ca-nuoc-se-hoan-thanh-xoa-277-400-nha-tam-dot-nat-vao-ngay-25-8-4904732.html,"Cả nước sẽ hoàn thành xóa 277.400 nhà tạm, dột nát vào ngày 25/8","Bộ trưởng Đào Ngọc Dung cho biết toàn quốc dự kiến sẽ hoàn thành mục tiêu xóa 277.400 căn nhà tạm, dột nát vào ngày 25/8, trong đó 262.800 căn đã được hỗ trợ xây dựng.",Tin tức tổng hợp,2025-06-22T15:05:00+07:00,VnExpress,https://i2-vnexpress.vnecdn.net/2025/06/22/img6082-1750556966339134526334-2092-8950-1750574566.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=IYaLIJNno85TtRQPhBkXmQ,non-clickbait
article_0016,https://vnexpress.net/mo-rong-quang-truong-ba-dinh-4904717.html,Mở rộng Quảng trường Ba Đình,Không gian Quảng trường Ba Đình được mở rộng về phía Nam để khôi phục tầm nhìn trục lễ và nâng cấp cảnh quan khu trung tâm chính trị quốc gia.,Tin tức tổng hợp,2025-06-22T14:39:00+07:00,VnExpress,https://i2-vnexpress.vnecdn.net/2025/06/22/z5790330570348-bf590ececda4402-2354-2358-1750570329.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=fjBZGg4jSdf76SOLH-mGow,non-clickbait
article_0017,https://vnexpress.net/phuong-an-to-chuc-giao-thong-qua-cau-nhon-trach-noi-tp-hcm-dong-nai-4904706.html,Phương án tổ chức giao thông qua cầu Nhơn Trạch nối TP HCM - Đồng Nai,"Do hai đoạn đầu tuyến kết nối chưa hoàn thành, nên giai đoạn đầu cầu Nhơn Trạch dự kiến khai thác như đường đô thị, chưa theo tiêu chuẩn cao tốc.",Tin tức tổng hợp,2025-06-22T11:48:00+07:00,VnExpress,https://i2-vnexpress.vnecdn.net/2025/06/22/z673016917860821aae525cd098965-5578-3924-1750566837.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=HMZ0EhM1j-nrz8pyLznIFQ,non-clickbait
article_0018,https://vnexpress.net/hiem-hoa-tu-may-bay-phun-thuoc-4904350.html,Hiểm họa từ máy bay phun thuốc,"Thiếu lao động nông nghiệp khiến máy bay phun thuốc dần thay thế bình phun cơ, nhưng cũng tiềm ẩn nhiều rủi ro do khó kiểm soát, người điều khiển chưa qua đào tạo.",Tin tức tổng hợp,2025-06-22T10:00:00+07:00,VnExpress,https://i2-vnexpress.vnecdn.net/2025/06/22/z6724138025907-b77e7c4781a06b2-1834-5041-1750561049.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=6y4JOPbda_QcY07CUm-BEw,non-clickbait
